iter	Passed	Remaining
0	10	10913
1	17	8642
2	23	7919
3	33	8410
4	46	9294
5	55	9194
6	62	8839
7	67	8417
8	73	8072
9	79	7871
10	84	7630
11	90	7423
12	95	7279
13	102	7186
14	107	7060
15	113	6958
16	118	6849
17	123	6762
18	129	6681
19	134	6596
20	139	6526
21	145	6478
22	151	6416
23	156	6361
24	162	6329
25	167	6279
26	173	6234
27	178	6194
28	183	6149
29	188	6103
30	194	6065
31	199	6023
32	204	5992
33	210	5969
34	215	5935
35	221	5936
36	227	5913
37	232	5888
38	238	5869
39	243	5844
40	248	5819
41	254	5809
42	260	5786
43	265	5768
44	271	5753
45	276	5730
46	281	5716
47	287	5699
48	292	5681
49	298	5673
50	304	5664
51	309	5647
52	314	5627
53	320	5610
54	325	5595
55	330	5579
56	336	5563
57	341	5549
58	346	5532
59	352	5521
60	358	5525
61	370	5605
62	388	5776
63	396	5795
64	403	5807
65	409	5791
66	414	5774
67	421	5772
68	426	5754
69	431	5734
70	437	5726
71	442	5707
72	448	5689
73	453	5677
74	458	5659
75	464	5643
76	470	5637
77	475	5621
78	480	5605
79	486	5594
80	491	5578
81	497	5570
82	502	5556
83	508	5539
84	513	5525
85	518	5515
86	524	5501
87	529	5492
88	535	5481
89	540	5466
90	546	5454
91	551	5443
92	560	5463
93	565	5451
94	570	5437
95	576	5425
96	581	5414
97	586	5401
98	592	5391
99	598	5382
100	603	5369
101	608	5357
102	614	5347
103	619	5335
104	624	5324
105	630	5315
106	635	5305
107	643	5310
108	648	5301
109	654	5298
110	663	5313
111	670	5314
112	675	5302
113	681	5296
114	687	5287
115	692	5275
116	697	5266
117	703	5261
118	709	5249
119	714	5239
120	719	5229
121	725	5217
122	730	5210
123	736	5199
124	741	5189
125	746	5179
126	751	5169
127	757	5157
128	762	5151
129	768	5140
130	773	5129
131	778	5121
132	784	5111
133	789	5100
134	794	5093
135	800	5082
136	805	5072
137	810	5064
138	815	5054
139	821	5044
140	827	5040
141	832	5030
142	838	5023
143	843	5015
144	848	5006
145	854	5000
146	860	4993
147	865	4983
148	871	4974
149	876	4966
150	881	4956
151	886	4948
152	892	4941
153	897	4932
154	909	4957
155	920	4981
156	930	4995
157	941	5017
158	952	5040
159	964	5063
160	974	5080
161	980	5070
162	986	5066
163	992	5060
164	998	5051
165	1004	5044
166	1013	5056
167	1023	5066
168	1028	5056
169	1037	5065
170	1043	5060
171	1049	5054
172	1056	5050
173	1061	5041
174	1067	5031
175	1077	5043
176	1084	5041
177	1092	5043
178	1102	5054
179	1107	5044
180	1112	5033
181	1118	5029
182	1130	5045
183	1136	5039
184	1141	5029
185	1147	5020
186	1152	5010
187	1157	5000
188	1162	4990
189	1168	4981
190	1173	4970
191	1179	4962
192	1184	4953
193	1190	4944
194	1195	4934
195	1200	4926
196	1206	4917
197	1211	4907
198	1217	4899
199	1222	4889
200	1227	4879
201	1232	4870
202	1238	4861
203	1243	4852
204	1249	4844
205	1254	4835
206	1259	4825
207	1265	4816
208	1270	4807
209	1275	4798
210	1280	4789
211	1286	4780
212	1291	4771
213	1296	4762
214	1303	4758
215	1308	4749
216	1314	4741
217	1319	4732
218	1324	4723
219	1331	4720
220	1343	4734
221	1356	4752
222	1361	4743
223	1367	4736
224	1372	4728
225	1384	4740
226	1389	4731
227	1395	4724
228	1400	4714
229	1405	4706
230	1411	4700
231	1417	4691
232	1422	4682
233	1428	4675
234	1433	4665
235	1439	4660
236	1444	4651
237	1450	4643
238	1455	4634
239	1461	4628
240	1467	4620
241	1472	4612
242	1478	4605
243	1483	4596
244	1488	4587
245	1494	4579
246	1499	4572
247	1504	4562
248	1510	4555
249	1515	4546
250	1520	4538
251	1526	4530
252	1533	4526
253	1541	4528
254	1547	4521
255	1553	4513
256	1558	4506
257	1564	4499
258	1570	4492
259	1575	4485
260	1581	4476
261	1586	4468
262	1592	4462
263	1597	4455
264	1603	4447
265	1609	4441
266	1616	4437
267	1622	4431
268	1627	4423
269	1633	4415
270	1638	4408
271	1644	4401
272	1650	4395
273	1656	4388
274	1661	4380
275	1666	4372
276	1672	4365
