latitud,longitud,Barrio,Ciudad,Area_total,Area_constr,Area_constr_cat,NroBanios,Dormitorios,Antiguedad,Cocheras,areas_diff,areas_proporcion,diff_total_mean_district,geohash_grado5,geohash_grado6,geohash_grado7,geohash_grado8,geohash_grado9,bank_poi_count,parking_poi_count,clinic_poi_count,restaurant_poi_count,school_poi_count,bus_station_poi_count,college_poi_count,university_poi_count,marketplace_poi_count,police_poi_count,local_average_bedrooms,local_average_total_area,Precio_m2_total
-12.09136954150419,-77.01297339577026,39,2,600.0,600.0,18.0,4.0,4.0,35.0,4.0,0.0,1.0,-48.233465608465615,6mc5p,6mc5pw,6mc5pwb,6mc5pwbf,6mc5pwbfe,2.0,13.0,12.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,4.430264132313006,450.449271784747,6212.5
-12.11007678278235,-76.96563968465576,48,2,1387.0,793.0,19.0,4.0,4.0,20.0,5.0,594.0,1.7490542244640606,123.1,6mc70,6mc70e,6mc70e7,6mc70e7m,6mc70e7md,3.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.25499876573934,5969.718817591926
-12.079926094100001,-76.9234095619,28,2,490.0,490.0,16.0,5.0,5.0,21.0,4.0,0.0,1.0,0.0,6mc73,6mc738,6mc738f,6mc738fj,6mc738fj6,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.4300172796840265,450.4764255739349,6946.312244897959
-12.2074273,-76.93703260000002,51,2,140.0,140.0,1.0,3.0,6.0,16.0,1.0,0.0,1.0,-3.4510489510489606,6mc69,6mc693,6mc6938,6mc6938n,6mc6938nt,14.0,5.0,3.0,35.0,15.0,0.0,0.0,0.0,2.0,0.0,4.429770427055045,450.562823994078,2200.0
-12.144977,-76.9895922,48,2,338.0,215.0,4.0,3.0,4.0,23.0,2.0,123.0,1.5720930232558141,-0.2888888888888914,6mc6b,6mc6bj,6mc6bj1,6mc6bj1f,6mc6bj1fk,0.0,1.0,2.0,24.0,13.0,0.0,2.0,0.0,2.0,1.0,4.4305830039528065,450.444911067191,6286.3905325443775
-12.073564,-76.88598449999998,28,2,292.0,292.0,8.0,4.0,5.0,28.0,3.0,0.0,1.0,-48.45104895104897,6mc76,6mc766,6mc766j,6mc766j6,6mc766j66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430229686342337,450.58755248209724,6810.958904109589
-12.07769017390877,-76.93291068077086,18,2,400.0,330.0,10.0,4.0,4.0,15.0,3.0,70.0,1.2121212121212122,31.440860215053764,6mc73,6mc733,6mc7337,6mc73374,6mc73374m,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.430264132313006,450.4986423105431,6037.5
-12.074916844,-76.93488195239999,28,2,276.0,276.0,7.0,3.0,4.0,19.0,3.0,0.0,1.0,27.823529411764692,6mc73,6mc733,6mc733c,6mc733cd,6mc733cdx,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.430264132313006,450.5292520365367,7584.528985507246
-12.08895994597406,-76.99085771163939,38,2,468.0,421.0,14.0,5.0,6.0,27.0,3.0,47.0,1.1116389548693586,94.61153846153849,6mc70,6mc70p,6mc70p2,6mc70p2b,6mc70p2bw,0.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.429770427055045,450.4818563317724,6393.1623931623935
-12.0742007,-76.9671843,18,2,1064.0,712.0,19.0,5.0,4.0,21.0,5.0,352.0,1.4943820224719102,-161.2549019607843,6mc72,6mc729,6mc729f,6mc729fn,6mc729fnw,2.0,2.0,1.0,7.0,4.0,0.0,0.0,1.0,0.0,1.0,4.430689399555355,449.6585124783796,4473.684210526316
-12.108723300000001,-76.9432719,18,2,550.0,350.0,11.0,4.0,4.0,15.0,3.0,200.0,1.5714285714285714,441.29268292682923,6mc71,6mc715,6mc715e,6mc715et,6mc715ete,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.43047666090396,450.2862435169207,4263.636363636364
-12.1402702,-77.0142113,3,2,344.0,162.0,2.0,2.0,2.0,65.0,2.0,182.0,2.123456790123457,32.744360902255664,6mc4z,6mc4zm,6mc4zmz,6mc4zmzv,6mc4zmzvy,1.0,0.0,1.0,18.0,11.0,1.0,1.0,0.0,1.0,0.0,4.430757837570967,450.51246605776606,3633.720930232558
-12.114215,-76.9708991,48,2,350.0,550.0,17.0,4.0,4.0,22.0,4.0,-200.0,0.6363636363636364,140.74436090225564,6mc70,6mc706,6mc706x,6mc706xt,6mc706xt8,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,4.430264132313006,450.5109849419922,8062.857142857143
-12.19217026816531,-76.99614109277344,11,2,740.0,400.0,14.0,4.0,5.0,19.0,3.0,340.0,1.85,0.0,6mc4x,6mc4xu,6mc4xum,6mc4xump,6mc4xump7,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,4.4300172796840265,450.41471241668967,2743.243243243244
-12.0742502,-76.9855905,2,2,320.0,320.0,10.0,3.0,5.0,20.0,2.0,0.0,1.0,-137.75,6mc72,6mc721,6mc721u,6mc721uy,6mc721uy3,2.0,11.0,1.0,15.0,13.0,0.0,0.0,0.0,3.0,1.0,4.4300172796840265,450.5183905208616,3506.2375
-12.0696099,-76.9092045,18,2,1015.0,400.0,14.0,4.0,4.0,20.0,4.0,615.0,2.5375,-374.2334656084657,6mc73,6mc73f,6mc73fu,6mc73fu3,6mc73fu3m,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.430370370370271,450.08395061728265,788.1773399014778
-12.137681800000001,-76.9773119,48,2,425.0,458.0,16.0,4.0,4.0,28.0,4.0,-33.0,0.9279475982532752,-344.45104895104896,6mc6b,6mc6bq,6mc6bq6,6mc6bq6u,6mc6bq6uf,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,4.430264132313006,450.49247099481863,4900.0
-12.095192263332713,-77.06714226417084,24,2,242.0,242.0,6.0,3.0,4.0,47.0,2.0,0.0,1.0,-88.25563909774435,6mc5n,6mc5nq,6mc5nq1,6mc5nq1k,6mc5nq1km,2.0,2.0,3.0,13.0,9.0,0.0,1.0,1.0,0.0,1.0,4.430264132313006,450.537645025922,7169.421487603306
-12.1304702655,-76.98175150899999,48,2,220.0,220.0,5.0,3.0,4.0,30.0,2.0,0.0,1.0,-43.48124999999999,6mc6b,6mc6bp,6mc6bpx,6mc6bpxw,6mc6bpxwg,12.0,15.0,2.0,34.0,4.0,1.0,0.0,1.0,0.0,0.0,4.430264132313006,450.5430757837596,6912.722727272727
-11.9730589,-77.0036264,40,2,162.0,132.0,1.0,3.0,6.0,14.0,1.0,30.0,1.2272727272727273,-186.45104895104896,6mc5z,6mc5zs,6mc5zsr,6mc5zsre,6mc5zsrev,6.0,1.0,1.0,6.0,24.0,0.0,0.0,0.0,2.0,1.0,4.429770427055045,450.55739323624044,4753.086419753086
-12.0874226,-76.9088443,18,2,1000.0,389.0,13.0,4.0,4.0,13.0,3.0,611.0,2.570694087403599,328.7450980392157,6mc71,6mc71z,6mc71zs,6mc71zs9,6mc71zs9w,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,4.43172242874847,450.3390334572461,2625.0
-12.09483427107156,-76.92173232523595,18,2,808.0,260.0,7.0,3.0,4.0,17.0,2.0,548.0,3.107692307692308,729.51875,6mc71,6mc71w,6mc71w5,6mc71w5q,6mc71w5q3,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.3979264379192,2060.6435643564355
-12.08162116651509,-76.90740549882452,18,2,488.0,246.0,6.0,3.0,4.0,17.0,2.0,242.0,1.9837398373983741,122.39413680781756,6mc73,6mc73b,6mc73bt,6mc73bte,6mc73bter,0.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,4.430264132313006,450.4769192791928,4073.7704918032787
-12.131281199999998,-77.0148355,48,2,427.0,427.0,15.0,4.0,4.0,28.0,3.0,0.0,1.0,-458.2334656084657,6mc4z,6mc4zr,6mc4zrx,6mc4zrxd,6mc4zrxd0,2.0,6.0,2.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.4919772895606,6324.2903981264635
-12.1026425,-77.0291165,39,2,325.0,324.0,10.0,3.0,4.0,40.0,2.0,1.0,1.0030864197530864,-134.23346560846562,6mc5p,6mc5ph,6mc5phv,6mc5phv0,6mc5phv0g,8.0,2.0,4.0,7.0,12.0,2.0,2.0,2.0,0.0,1.0,4.430264132313006,450.5171562577166,8812.30769230769
-12.0463731,-77.042754,28,2,300.0,300.0,9.0,3.0,5.0,22.0,2.0,0.0,1.0,451.54895104895104,6mc5q,6mc5qz,6mc5qz5,6mc5qz50,6mc5qz50v,7.0,12.0,2.0,10.0,11.0,2.0,2.0,2.0,8.0,0.0,4.429982711780719,450.6371943689829,5924.03
-12.116586388895907,-76.93871628200073,18,2,305.0,150.0,2.0,3.0,5.0,19.0,2.0,155.0,2.033333333333333,-398.2334656084657,6mc71,6mc714,6mc714n,6mc714nz,6mc714nzv,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.4300172796840265,450.52209331029627,2652.459016393443
-12.0990125,-77.06003249999998,24,2,666.0,380.0,13.0,3.0,4.0,47.0,3.0,286.0,1.7526315789473683,29.599999999999994,6mc5n,6mc5nm,6mc5nmq,6mc5nmqw,6mc5nmqw5,9.0,2.0,0.0,12.0,4.0,0.0,0.0,1.0,0.0,0.0,4.430370370370271,450.3967901234555,3453.453453453453
-12.08388529436498,-76.9244603558228,18,2,340.0,340.0,11.0,4.0,4.0,15.0,3.0,0.0,1.0,-101.52238805970148,6mc73,6mc738,6mc7381,6mc7381q,6mc7381q6,6.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.513453468282,6300.0
-12.0908259,-76.99184880000001,38,2,485.0,400.0,14.0,5.0,6.0,27.0,3.0,85.0,1.2125,54.611538461538494,6mc70,6mc70n,6mc70nb,6mc70nbj,6mc70nbjz,6.0,0.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,4.429770427055045,450.47765983707984,5789.690721649485
-12.085336400000001,-76.96179959999998,48,2,282.0,282.0,8.0,4.0,4.0,30.0,2.0,0.0,1.0,501.7665343915343,6mc70,6mc70x,6mc70xy,6mc70xyj,6mc70xyju,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.5277709207628,7578.379432624112
-12.049699,-76.99814690000002,15,2,176.0,176.0,3.0,3.0,5.0,30.0,1.0,0.0,1.0,-308.4510489510489,6mc5r,6mc5ry,6mc5ry7,6mc5ry7t,6mc5ry7tm,4.0,1.0,4.0,7.0,24.0,0.0,2.0,0.0,0.0,1.0,4.4300172796840265,450.55393729943466,4044.886363636364
-12.080789300000001,-77.0181197,19,2,260.0,260.0,7.0,3.0,4.0,30.0,1.0,0.0,1.0,-227.45104895104896,6mc5r,6mc5r2,6mc5r2v,6mc5r2v0,6mc5r2v07,4.0,1.0,1.0,15.0,12.0,0.0,0.0,0.0,0.0,1.0,4.430264132313006,450.5332016786004,4807.692307692308
-11.9962077,-77.06466949999998,22,2,373.0,373.0,12.0,6.0,13.0,32.0,1.0,0.0,1.0,-298.4510489510489,6mc5y,6mc5y2,6mc5y25,6mc5y25j,6mc5y25jp,12.0,9.0,3.0,17.0,16.0,0.0,4.0,3.0,0.0,1.0,4.428042458652182,450.50530733152567,2608.57908847185
-12.0317509,-77.0858848,43,2,230.0,230.0,5.0,3.0,3.0,6.0,2.0,0.0,1.0,33.744360902255664,6mc5t,6mc5tc,6mc5tce,6mc5tcev,6mc5tcevb,8.0,0.0,2.0,19.0,27.0,0.0,0.0,0.0,2.0,0.0,4.4305109849419875,450.5406072574698,3392.1739130434785
