element_type,osmid,amenity,name,geometry
node,262728387,bank,Interbank,POINT (-77.05273680000001 -12.1040203)
node,493061557,parking,,POINT (-77.0812449 -12.0766419)
node,565876567,clinic,Clinica Santa Teresa,POINT (-77.0207286 -12.104425)
node,598825401,restaurant,Chifa,POINT (-77.0373902 -12.1138226)
node,606936954,clinic,Clinica San Judas Tadeo,POINT (-77.0801214 -12.0799935)
node,607232671,bank,BCP Maranga,POINT (-77.0936896 -12.0776301)
node,817017620,parking,Estacionamiento de Plaza Vea,POINT (-77.015739 -11.9914498)
node,817079346,restaurant,Norky's,POINT (-77.010319 -11.989725)
node,817316348,school,Instituto Sistemas UNI,POINT (-77.0539375 -12.0175057)
node,827192137,parking,,POINT (-77.0487151 -12.0239046)
node,864895060,school,Institución Educativa 2065 Jose Antonio Encinas,POINT (-77.0772766 -11.8671378)
node,864945383,restaurant,Marisqueria Fresia,POINT (-77.0750553 -11.8652645)
node,864945403,restaurant,3 en 1,POINT (-77.0762247 -11.8655585)
node,864945406,restaurant,Pollos a la Brasa,POINT (-77.07584919999999 -11.8653275)
node,864945409,restaurant,Yasmin,POINT (-77.0737756 -11.8693307)
node,912330008,restaurant,,POINT (-77.0513373 -12.0150713)
node,912330173,restaurant,,POINT (-77.04934830000001 -12.0150432)
node,912330189,restaurant,Fuente de soda Meche,POINT (-77.0501759 -12.0149103)
node,912330324,restaurant,,POINT (-77.0493573 -12.0151864)
node,931754587,school,I.E. Cesar Vallejo,POINT (-77.08735470000001 -11.9208276)
node,931755446,school,I.E. Inicial,POINT (-77.0867968 -11.9214365)
node,959586057,restaurant,Antigua Bodega Dalmacia,POINT (-77.02659490000001 -12.1324083)
node,976541386,parking,,POINT (-77.04159850000001 -12.0806271)
node,1192970712,restaurant,La 73 Paradero Gourmet,POINT (-77.0232905 -12.1397022)
node,1193558406,restaurant,Canta Rana,POINT (-77.0223185 -12.1467585)
node,1193695413,restaurant,El Muelle,POINT (-77.0226622 -12.1471242)
node,1273466292,restaurant,Mis costillitas,POINT (-77.0877914 -12.0790608)
node,1273982015,restaurant,Mis costillitas,POINT (-77.0876651 -12.0788309)
node,1278915815,bus_station,Real Bus,POINT (-77.0328057 -12.0639467)
node,1278915817,bus_station,Estación Estadio Nacional,POINT (-77.0321386 -12.0685302)
node,1278915827,bus_station,CIVA,POINT (-77.0334387 -12.0632857)
node,1301470754,school,Liceo Naval Contralmirante Lizardo Montero,POINT (-77.08986470000001 -12.0631682)
node,1302229319,bank,Banco Continental,POINT (-76.9872512 -12.0762799)
node,1304828460,school,,POINT (-76.98688509999999 -12.0732892)
node,1305070536,school,Colegio Santa Angela,POINT (-76.98643180000001 -12.0800658)
node,1305070751,restaurant,La Orejita,POINT (-76.9881109 -12.0737972)
node,1305792010,school,,POINT (-76.98200900000001 -12.0807352)
node,1306112767,parking,,POINT (-76.9817899 -12.0791016)
node,1383604877,restaurant,Cevichería Señor Limón,POINT (-76.9640883 -12.0757605)
node,1397830702,parking,,POINT (-77.0359509 -12.0534817)
node,1403008338,restaurant,Norky's,POINT (-77.0337696 -12.0492583)
node,1403008339,bank,Scotiabank,POINT (-77.0319843 -12.0491637)
node,1403008343,bank,Interbank,POINT (-77.03243860000001 -12.0474512)
node,1418820348,bus_station,Estación Quilca,POINT (-77.0422599 -12.0522011)
node,1418822748,bus_station,Estación 2 de Mayo,POINT (-77.042849 -12.0456309)
node,1418822755,bus_station,Estación Jirón de la Unión hacia el Norte,POINT (-77.03276630000001 -12.0492878)
node,1418822756,bus_station,Ramón Castilla,POINT (-77.0421035 -12.04361)
node,1418823155,bus_station,Estación Central,POINT (-77.03597910000001 -12.0577299)
node,1418824477,bus_station,Estación México,POINT (-77.0292237 -12.0761016)
node,1418824478,bus_station,Estación Javier Prado,POINT (-77.0235184 -12.0893542)
node,1418826159,bus_station,Estación Bulevar,POINT (-77.02013839999999 -12.1484921)
node,1418826169,bus_station,Estación Estadio Unión,POINT (-77.01969440000001 -12.1529607)
