latitud,longitud,Barrio,Ciudad,Area_total,Area_constr,MONEDA,Area_constr_cat,NroBanios,Dormitorios,Antiguedad,Cocheras,areas_diff,geohash_grado5,geohash_grado6,geohash_grado7,geohash_grado8,geohash_grado9,Precio_m2_total
-12.0955493,-77.05955259999998,Magdalena,Lima,260.0,317.0,S/,9.0,4.0,5.0,41.0,3.0,-57.0,6mc5n,6mc5nq,6mc5nqn,6mc5nqnf,6mc5nqnfq,7406.153846153847
-12.2835639,-76.84723079999998,Lurín,Lima,1000.0,399.0,USD,13.0,3.0,4.0,10.0,6.0,601.0,6mc65,6mc657,6mc657c,6mc657ce,6mc657ce1,1925.0
-12.068400871333573,-77.09111641114498,San Miguel,Lima,225.0,160.0,S/,2.0,3.0,6.0,27.0,2.0,65.0,6mc5m,6mc5me,6mc5mep,6mc5mepb,6mc5mepbq,5664.0
-12.2103057,-77.01197669999998,Chorrillos,Lima,1385.0,490.0,S/,16.0,4.0,5.0,18.0,4.0,895.0,6mc4x,6mc4x9,6mc4x91,6mc4x91t,6mc4x91tf,2433.2129963898915
-12.095818800000002,-77.0145608,San Isidro,Lima,360.0,450.0,USD,15.0,4.0,5.0,34.0,3.0,-90.0,6mc5p,6mc5pq,6mc5pqp,6mc5pqp8,6mc5pqp8w,8555.555555555555
-12.098290028,-77.0360821233,San Isidro,Lima,300.0,300.0,S/,9.0,3.0,4.0,34.0,3.0,0.0,6mc5p,6mc5pj,6mc5pj8,6mc5pj84,6mc5pj843,15690.783333333333
-12.169225539300001,-77.0198771947,Chorrillos,Lima,450.0,450.0,S/,15.0,5.0,5.0,19.0,3.0,0.0,6mc4z,6mc4z2,6mc4z2e,6mc4z2ev,6mc4z2ev4,3541.7155555555555
-12.0887461,-76.9670433,Santiago de Surco,Lima,810.0,550.0,USD,17.0,4.0,5.0,22.0,4.0,260.0,6mc70,6mc70x,6mc70x6,6mc70x63,6mc70x63c,7777.777777777777
-12.078282983977273,-76.92070526320197,La Molina,Lima,295.0,295.0,S/,8.0,4.0,4.0,19.0,3.0,0.0,6mc73,6mc739,6mc739h,6mc739hn,6mc739hnc,2708.4745762711864
-12.10348220927223,-76.97087443815917,Santiago de Surco,Lima,280.0,280.0,S/,7.0,3.0,4.0,29.0,2.0,0.0,6mc70,6mc70k,6mc70kx,6mc70kxs,6mc70kxs0,6042.857142857143
-12.215589999999999,-77.0055944,Chorrillos,Lima,630.0,350.0,USD,11.0,4.0,4.0,24.0,3.0,280.0,6mc4x,6mc4x8,6mc4x8n,6mc4x8np,6mc4x8npp,3611.111111111111
-12.0878875,-76.924643,La Molina,Lima,1270.0,300.0,S/,9.0,4.0,4.0,14.0,3.0,970.0,6mc71,6mc71x,6mc71x3,6mc71x3n,6mc71x3nv,3385.3543307086616
-12.2095337,-76.8538748,Pachacamac,Lima,7500.0,700.0,USD,19.0,4.0,4.0,4.0,8.0,6800.0,6mc6e,6mc6e1,6mc6e1k,6mc6e1kd,6mc6e1kdq,914.6666666666665
-12.107809147080538,-76.96695327758789,Santiago de Surco,Lima,450.0,299.0,USD,8.0,3.0,4.0,31.0,2.0,151.0,6mc70,6mc70e,6mc70ef,6mc70ef6,6mc70ef6g,5522.222222222223
-12.07359521789597,-76.96850869472048,La Molina,Lima,1150.0,700.0,USD,19.0,5.0,4.0,20.0,5.0,450.0,6mc72,6mc72d,6mc72d1,6mc72d14,6mc72d14p,6695.652173913043
-11.9818548,-76.7430566,Chaclacayo,Lima,2200.0,200.0,USD,4.0,3.0,4.0,21.0,4.0,2000.0,6mc7v,6mc7vd,6mc7vdv,6mc7vdv2,6mc7vdv2t,1590.909090909091
